,mass,span,E,I,flexural_index,bridge_freq_true,bridge_name,case_study,span_type
0,11600,16.0,211,0.0621,0.8189437500000001,6.5,short_span,Case_1,short_span
1,11600,30.0,211,0.0621,0.43677000000000005,1.9,med_span,Case_1,med_span
2,11600,40.0,211,0.0621,0.3275775,1.0,long_span,Case_1,long_span
3,11600,16.0,211,0.0621,0.8189437500000001,6.5,small_thick,Case_1,short_span
4,11700,16.0,211,0.0744,0.98115,7.1,med_thick,Case_1,short_span
5,11750,16.0,211,0.0863,1.13808125,7.6,large_thick,Case_1,short_span
6,9040,16.0,211,0.0324,0.42727499999999996,5.3,low_num,Case_1,short_span
7,11600,16.0,211,0.0621,0.8189437500000001,6.5,med_num,Case_1,short_span
8,15500,16.0,211,0.0915,1.20665625,6.8,high_num,Case_1,short_span
9,9040,20.0,211,0.0324,0.34181999999999996,3.4,low_num_constant_flexure,Case_1,short_span
10,11600,38.0,211,0.0621,0.3448184210526316,1.2,med_num_constant_flexure,Case_1,long_span
11,15500,56.0,211,0.0915,0.3447589285714286,0.6,high_num_constant_flexure,Case_1,long_span
12,11600,20.0,211,0.0621,0.655155,4.2,thin_constant_mass,Case_1,short_span
13,11700,24.0,211,0.0744,0.6541,3.2,med_thick_constant_mass,Case_1,med_span
14,11750,28.0,211,0.0863,0.6503321428571428,2.5,large_thick_constant_mass,Case_1,med_span
15,10400,20.0,200,0.451,4.51,11.6,short_span,Case_2,short_span
16,10400,30.0,200,0.451,3.006666666666667,5.1,med_span,Case_2,med_span
17,10400,40.0,200,0.451,2.255,2.9,long_span,Case_2,long_span
18,10302,40.0,200,0.253,1.2650000000000001,2.2,small_thick,Case_2,long_span
19,10400,40.0,200,0.451,2.255,2.9,med_thick,Case_2,long_span
20,10600,40.0,200,0.714,3.5699999999999994,3.6,large_thick,Case_2,long_span
21,10400,40.0,200,0.451,2.255,2.9,low_num,Case_2,long_span
22,12265,40.0,200,0.753,3.7649999999999997,3.4,med_num,Case_2,long_span
23,14080,40.0,200,0.997,4.985,3.7,high_num,Case_2,long_span
24,10400,40.0,200,0.451,2.255,2.9,low_num_constant_flexure,Case_2,long_span
25,12265,44.0,200,0.753,3.4227272727272724,2.8,med_num_constant_flexure,Case_2,long_span
26,14080,46.0,200,0.997,4.334782608695653,2.8,high_num_constant_flexure,Case_2,long_span
27,10302,15.0,200,0.253,3.3733333333333335,15.5,thin_constant_mass,Case_2,short_span
28,10400,27.0,200,0.451,3.340740740740741,6.3,med_thick_constant_mass,Case_2,med_span
29,10600,42.0,200,0.714,3.3999999999999995,3.3,large_thick_constant_mass,Case_2,long_span
30,5600,21.3,205,0.0837,0.8055633802816902,6.1,short_span,Case_3,med_span
31,5600,30.0,205,0.0837,0.57195,3.1,med_span,Case_3,med_span
32,5600,40.0,205,0.0837,0.4289625,1.7,long_span,Case_3,long_span
33,5600,21.3,205,0.0837,0.8055633802816902,6.1,small_thick,Case_3,med_span
34,5790,21.3,205,0.177,1.7035211267605632,8.7,med_thick,Case_3,med_span
35,5840,21.3,205,0.284,2.733333333333333,10.9,large_thick,Case_3,med_span
36,5600,21.3,205,0.0837,0.8055633802816902,6.1,low_num,Case_3,med_span
37,6700,21.3,205,0.159,1.530281690140845,7.6,med_num,Case_3,med_span
38,9800,21.3,205,0.235,2.2617370892018775,7.7,high_num,Case_3,med_span
39,5600,20.0,205,0.0837,0.857925,6.9,low_num_constant_flexure,Case_3,short_span
40,6700,38.0,205,0.159,0.8577631578947368,2.4,med_num_constant_flexure,Case_3,long_span
41,9800,56.0,205,0.235,0.8602678571428571,1.1,high_num_constant_flexure,Case_3,long_span
42,5600,13.0,205,0.0837,1.3198846153846153,16.3,thin_constant_mass,Case_3,short_span
43,5790,28.0,205,0.177,1.295892857142857,5.0,med_thick_constant_mass,Case_3,med_span
44,5840,44.0,205,0.284,1.323181818181818,2.6,large_thick_constant_mass,Case_3,long_span
